                                     | Core 0    
  Instructions                       |    1359045
  Cycles                             |    3705381
  IPC                                |       0.37
  Time (ns)                          |    1393001
  Idle time (ns)                     |      88774
  Idle time (%)                      |       6.4%
Branch predictor stats               |           
  num correct                        |     104004
  num incorrect                      |         10
  misprediction rate                 |      0.01%
  mpki                               |       0.01
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     211016
    num cache misses                 |         14
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |     936053
    num cache misses                 |         11
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L2                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.02
  Cache L3                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.02
DRAM summary                         |           
  num dram accesses                  |         24
  average dram access latency (ns)   |     120.40
  average dram queueing delay        |      66.97
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
